	Approach	Dataset	Users	Items	Interactions	k	VarianceNDCG	VarianceExposure	VarianceExposureEqWeight	Entropy	Gini	MMS	IIF
0	Baseline	amazon	279	269	300	20	0.0	499.7355381920396	4521.737178867069	0.6110658074564872	0.8033515874991917	0.08921933085501858	0.0028196783158933526
1	FR	amazon	279	269	300	20	0.00012440942910885104	556.5866064079289	5029.172123104986	0.5863848334646156	0.8071248184050682	0.07434944237918216	0.002166748046875
2	Baseline	amazon	324	311	350	20	0.0	607.848237189503	5704.677288282794	0.5817844326455526	0.8137915008053265	0.06752411575562701	0.00247906675386613
3	FR	amazon	324	311	350	20	0.00012785956755663856	654.9315915052539	5930.214265774754	0.5733996147517396	0.8161088065837887	0.06430868167202572	0.001895904541015625
4	Baseline	amazon	366	353	400	20	0.0	681.7759279731063	6415.536823182917	0.5736525770510522	0.8196513193173498	0.059490084985835696	0.002240044918374424
5	Baseline	amazon	453	436	500	20	0.0	862.3821667096826	8109.790968773671	0.5554090476954702	0.8303890481467144	0.0481651376146789	0.0018610539600802107
6	Baseline	amazon	607	585	700	20	0.0	1131.854426997483	10592.401811673604	0.5427713522638775	0.8411970583331077	0.041025641025641026	0.0014269817531619836
7	Baseline	amazon	825	769	1000	20	0.0	1607.9121667585246	15331.93080707047	0.518841894120431	0.8522399615995727	0.02860858257477243	0.0011481506632140838
8	Baseline	amazon	1156	1040	1500	20	0.0	2314.5021762575775	21491.74866863905	0.5106134624795534	0.8612189322818892	0.023076923076923078	0.0009028048794543687
9	Baseline	black_friday	282	261	300	20	0.0	535.0712829495849	4841.387501651474	0.6105108821173276	0.8043198292931005	0.08812260536398467	0.004059362614346218
10	FR	black_friday	282	261	300	20	0.0001406963810509648	586.2541177484414	5288.0158541418905	0.5886486544207663	0.8080706787207708	0.07662835249042145	0.0035877227783203125
11	Baseline	black_friday	328	305	350	20	0.0	632.6238953530302	5925.023703305562	0.5847250139941322	0.8148100196669298	0.06885245901639345	0.0034863603538992237
12	FR	black_friday	328	305	350	20	0.00013443527018298414	684.9368778509992	6196.64337543671	0.5746253167831881	0.8170792316807715	0.06557377049180328	0.00307464599609375
13	Baseline	black_friday	367	346	400	20	0.0	708.6301556663492	6624.867553209263	0.5736432425059353	0.8218962738305975	0.06069364161849711	0.003140129930971685
14	Baseline	black_friday	455	426	500	20	0.0	889.6668879735975	8379.151006193655	0.5560840219813549	0.8317177277953972	0.04929577464788732	0.002572925811163472
15	Baseline	black_friday	611	546	700	20	0.0	1216.8855114166288	11228.766963195532	0.550366340256212	0.843822763397379	0.04395604395604396	0.002093880809929053
16	Baseline	black_friday	841	716	1000	20	0.0	1803.2068993305058	17198.227583408756	0.5217325098657299	0.8567362120740387	0.030726256983240222	0.0016579412988979598
17	Baseline	black_friday	1166	948	1500	20	0.0	2575.455851794754	24923.10514696719	0.507505208928632	0.8654898368334175	0.023206751054852322	0.0013551726472975623
18	Baseline	movielens	236	241	300	20	0.0	387.6624853641655	3756.574714622683	0.6136523136703251	0.7938706225701994	0.08713692946058091	0.0029438040103291945
19	FR	movielens	236	241	300	20	0.00023708325348407763	412.7765413780978	3902.0435942907334	0.6050958903035278	0.7943797675847275	0.08298755186721991	0.0016679763793945312
20	Baseline	movielens	266	277	350	20	0.0	425.57596295463577	4008.9287753000826	0.612446491647779	0.8029946944131615	0.08664259927797834	0.0026075292241821853
21	FR	movielens	266	277	350	20	0.000205404399211195	455.2814230980392	4347.968486491418	0.593882508264548	0.8022965344666902	0.07220216606498195	0.001434326171875
22	Baseline	movielens	291	305	400	20	0.0	472.83615954787007	4561.616232195645	0.5961647845120623	0.8114019096130924	0.06885245901639345	0.0024313320908690896
23	FR	movielens	291	305	400	20	0.00024339261539211258	489.4553884898106	4734.973609244826	0.5878438801274984	0.8071250520479447	0.06557377049180328	0.0012531280517578125
24	Baseline	movielens	335	359	500	20	0.0	520.7854794886456	5120.94210938773	0.5885088524006704	0.8162605312383282	0.0584958217270195	0.0022803006240416416
25	Baseline	movielens	411	444	700	20	0.0	618.8957932610632	6186.542610177745	0.5794686203178698	0.8256483074643096	0.0472972972972973	0.0021174750538484775
26	Baseline	movielens	500	546	1000	20	0.0	694.4077049059962	6961.567430127868	0.5864933504943314	0.8272122291852482	0.045787545787545784	0.002027040362275088
27	Baseline	movielens	608	672	1500	20	0.0	796.9953937977142	8458.562358276644	0.5782050785147961	0.8295226291757816	0.03422619047619048	0.002009221230672465
28	Baseline	yelp	279	284	300	20	0.0	492.1615078568863	4552.115453283079	0.5930407168208668	0.802589895786465	0.07394366197183098	0.0024464160459685665
29	FR	yelp	279	284	300	20	0.00011650557950056822	527.5023309310964	4787.4886927197	0.581751486072036	0.8039997415981661	0.06690140845070422	0.0018243789672851562
30	Baseline	yelp	322	323	350	20	0.0	575.3203446694695	5401.952822321694	0.5807165829952944	0.8114411003493351	0.06811145510835913	0.002147831485667896
31	FR	yelp	322	323	350	20	0.00012919664905512897	620.9821987730937	5653.791831609618	0.5705894660171968	0.8131439529914151	0.06191950464396285	0.0015468597412109375
32	Baseline	yelp	367	368	400	20	0.0	679.195758135591	6304.209002835537	0.5666142027041879	0.8192777778431555	0.057065217391304345	0.0018561005837279892
33	Baseline	yelp	452	456	500	20	0.0	824.2784013926172	7800.315712526932	0.5489253411710663	0.8281031979231296	0.043859649122807015	0.0015341792673000505
34	Baseline	yelp	618	619	700	20	0.0	1129.3578562827856	10708.464222611385	0.5301734598342879	0.8404902781359179	0.035541195476575124	0.001170702312646082
35	Baseline	yelp	846	859	1000	20	0.0	1512.8550005516465	14477.449713436183	0.511378727846665	0.847989782894162	0.02677532013969732	0.0008682372454695411
36	Baseline	yelp	1187	1212	1500	20	0.0	2118.1323585342825	20208.1053872714	0.4930529695814643	0.8568987518365285	0.018976897689768978	0.0006497106620601595
37	Baseline	amazon	279	269	300	20	0.0	499.7355381920396	4521.737178867069	0.6110658074564872	0.8033515874991917	0.08921933085501858	0.0028196783158933526
38	Gini	amazon	279	269	300	20	0.00020295684033053466	591.2671868549089	3283.8115283094485	0.8135478027845261	0.8988270211805781	0.13382899628252787	0.4543610956333079
39	Baseline	amazon	324	311	350	20	0.0	607.848237189503	5704.677288282794	0.5817844326455526	0.8137915008053265	0.06752411575562701	0.00247906675386613
40	Gini	amazon	324	311	350	20	0.00021752747829730077	813.960277802851	5218.850921723308	0.8667058226892166	0.9325054467099687	0.0932475884244373	0.4103742733502425
41	Baseline	amazon	366	353	400	20	0.0	681.7759279731063	6415.536823182917	0.5736525770510522	0.8196513193173498	0.059490084985835696	0.002240044918374424
42	Baseline	amazon	453	436	500	20	0.0	862.3821667096826	8109.790968773671	0.5554090476954702	0.8303890481467144	0.0481651376146789	0.0018610539600802107
43	Gini	amazon	453	436	500	20	0.00031864757936242395	937.4340436201892	5861.534088039725	0.7916380482416778	0.9362786049137705	0.10779816513761468	0.562299160592339
44	Baseline	amazon	607	585	700	20	0.0	1131.854426997483	10592.401811673604	0.5427713522638775	0.8411970583331077	0.041025641025641026	0.0014269817531619836
45	Gini	amazon	607	585	700	20	0.0001792304997597927	1115.6237460895215	5470.343692015486	0.7644085679465937	0.9100748382725139	0.1452991452991453	0.6265542005736542
46	Baseline	amazon	825	769	1000	20	0.0	1607.9121667585246	15331.93080707047	0.518841894120431	0.8522399615995727	0.02860858257477243	0.0011481506632140838
47	Gini	amazon	825	769	1000	20	0.0002622998593431725	789.877182874734	5331.486073650444	0.7829801952681018	0.8900615225462514	0.15604681404421328	0.6662060546061707
48	Baseline	amazon	1156	1040	1500	20	0.0	2314.5021762575775	21491.74866863905	0.5106134624795534	0.8612189322818892	0.023076923076923078	0.0009028048794543687
49	Gini	amazon	1156	1040	1500	20	0.00029030705752276396	1099.8936474848972	8407.839053254436	0.7512028020722576	0.9138984432972191	0.1326923076923077	0.6254995440235758
50	Baseline	black_friday	282	261	300	20	0.0	535.0712829495849	4841.387501651474	0.6105108821173276	0.8043198292931005	0.08812260536398467	0.004059362614346218
51	Gini	black_friday	282	261	300	20	0.00015125774794774293	371.2869702411289	2863.1959307702473	0.8324973045560426	0.8505872610347471	0.21455938697318008	0.4958090973109777
52	Baseline	black_friday	328	305	350	20	0.0	632.6238953530302	5925.023703305562	0.5847250139941322	0.8148100196669298	0.06885245901639345	0.0034863603538992237
53	Gini	black_friday	328	305	350	20	0.00017925740349824916	405.8041763063773	3288.676162321957	0.8281018614524766	0.8641666828654885	0.18688524590163935	0.5207789032662464
54	Baseline	black_friday	367	346	400	20	0.0	708.6301556663492	6624.867553209263	0.5736432425059353	0.8218962738305975	0.06069364161849711	0.003140129930971685
55	Baseline	black_friday	455	426	500	20	0.0	889.6668879735975	8379.151006193655	0.5560840219813549	0.8317177277953972	0.04929577464788732	0.002572925811163472
56	Gini	black_friday	455	426	500	20	0.000565266653016584	727.1839882303566	4772.68152262558	0.7613448307438566	0.906509995285552	0.14084507042253522	0.5830966488051578
57	Baseline	black_friday	611	546	700	20	0.0	1216.8855114166288	11228.766963195532	0.550366340256212	0.843822763397379	0.04395604395604396	0.002093880809929053
58	Gini	black_friday	611	546	700	20	0.00019198662129010527	903.0503030064156	6385.4775859061565	0.7960900550446628	0.9266609591428582	0.1227106227106227	0.5392820715650506
59	Baseline	black_friday	841	716	1000	20	0.0	1803.2068993305058	17198.227583408756	0.5217325098657299	0.8567362120740387	0.030726256983240222	0.0016579412988979598
60	Gini	black_friday	841	716	1000	20	0.00019138272944191418	1563.1320063227888	10267.300209107081	0.7554477475539753	0.9409071809971647	0.10893854748603352	0.543157530149381
61	Baseline	black_friday	1166	948	1500	20	0.0	2575.455851794754	24923.10514696719	0.507505208928632	0.8654898368334175	0.023206751054852322	0.0013551726472975623
62	Gini	black_friday	1166	948	1500	20	0.0014988445506718276	1051.4873504986792	10246.05240435115	0.7531159629565628	0.8922134757965978	0.14767932489451477	0.7275202380682925
63	Baseline	movielens	236	241	300	20	0.0	387.6624853641655	3756.574714622683	0.6136523136703251	0.7938706225701994	0.08713692946058091	0.0029438040103291945
64	Gini	movielens	236	241	300	20	0.0002341171674462969	348.94202278866663	2091.23861503762	0.8579690230162332	0.8535460375237968	0.2074688796680498	0.46426235156933426
65	Baseline	movielens	266	277	350	20	0.0	425.57596295463577	4008.9287753000826	0.612446491647779	0.8029946944131615	0.08664259927797834	0.0026075292241821853
66	Gini	movielens	266	277	350	20	0.0003203928116245171	411.54368807021643	3258.9287753000826	0.7998766482521683	0.8927680162433693	0.1407942238267148	0.4841508235659132
67	Baseline	movielens	291	305	400	20	0.0	472.83615954787007	4561.616232195645	0.5961647845120623	0.8114019096130924	0.06885245901639345	0.0024313320908690896
68	Gini	movielens	291	305	400	20	0.00025237943575800244	373.92396363291374	2603.7736092448267	0.8136495953614801	0.8645431756067558	0.18688524590163935	0.49679328566238945
69	Baseline	movielens	335	359	500	20	0.0	520.7854794886456	5120.94210938773	0.5885088524006704	0.8162605312383282	0.0584958217270195	0.0022803006240416416
70	Gini	movielens	335	359	500	20	0.0004301191770752534	275.3506484914883	2227.354365655139	0.8423230797459584	0.8519392732715573	0.19498607242339833	0.5097800349314089
71	Baseline	movielens	411	444	700	20	0.0	618.8957932610632	6186.542610177745	0.5794686203178698	0.8256483074643096	0.0472972972972973	0.0021174750538484775
72	Gini	movielens	411	444	700	20	0.0003153595058142562	716.0384991778344	3295.86693450207	0.8136744556351406	0.9131741034044794	0.16441441441441443	0.5312849501335142
73	Baseline	movielens	500	546	1000	20	0.0	694.4077049059962	6961.567430127868	0.5864933504943314	0.8272122291852482	0.045787545787545784	0.002027040362275088
74	Gini	movielens	500	546	1000	20	0.0005046496950305167	308.076807294146	3122.0692616297006	0.8026136369337438	0.8422312901472501	0.18315018315018314	0.579848356736229
75	Baseline	movielens	608	672	1500	20	0.0	796.9953937977142	8458.562358276644	0.5782050785147961	0.8295226291757816	0.03422619047619048	0.002009221230672465
76	Gini	movielens	608	672	1500	20	0.0006753601947570954	323.60498963111496	2482.8153344671205	0.8149319020626586	0.8269162333366112	0.18452380952380953	0.6096963889775776
77	Baseline	yelp	279	284	300	20	0.0	492.1615078568863	4552.115453283079	0.5930407168208668	0.802589895786465	0.07394366197183098	0.0024464160459685665
78	Gini	yelp	279	284	300	20	0.00019499750240937653	455.3201011821752	2924.43235469153	0.8200372778380802	0.8910715055850297	0.1619718309859155	0.49165406989854826
79	Baseline	yelp	322	323	350	20	0.0	575.3203446694695	5401.952822321694	0.5807165829952944	0.8114411003493351	0.06811145510835913	0.002147831485667896
80	Gini	yelp	322	323	350	20	0.00023811217430114178	379.59135697063965	3054.60916907092	0.8252856070160532	0.8746878342126484	0.19195046439628483	0.512957541130365
81	Baseline	yelp	367	368	400	20	0.0	679.195758135591	6304.209002835537	0.5666142027041879	0.8192777778431555	0.057065217391304345	0.0018561005837279892
82	Baseline	yelp	452	456	500	20	0.0	824.2784013926172	7800.315712526932	0.5489253411710663	0.8281031979231296	0.043859649122807015	0.0015341792673000505
83	Gini	yelp	452	456	500	20	0.00022386848083363604	619.6567422765507	3594.3244844567557	0.7941522134565174	0.8813694889803249	0.18201754385964913	0.536454934783248
84	Baseline	yelp	618	619	700	20	0.0	1129.3578562827856	10708.464222611385	0.5301734598342879	0.8404902781359179	0.035541195476575124	0.001170702312646082
85	Gini	yelp	618	619	700	20	0.00012760705410847024	695.373220364908	5567.439989978105	0.7585568819903666	0.9140583482071655	0.12924071082390953	0.6307385184835089
86	Baseline	yelp	846	859	1000	20	0.0	1512.8550005516465	14477.449713436183	0.511378727846665	0.847989782894162	0.02677532013969732	0.0008682372454695411
87	Gini	yelp	846	859	1000	20	0.0014226446032306413	764.1340661920988	6303.317000979832	0.7573604678195021	0.9193966823307324	0.1280558789289872	0.5648743860213964
88	Baseline	yelp	1187	1212	1500	20	0.0	2118.1323585342825	20208.1053872714	0.4930529695814643	0.8568987518365285	0.018976897689768978	0.0006497106620601595
89	Gini	yelp	1187	1212	1500	20	0.000324818568648022	833.2080444240847	6600.7456512978015	0.7686686964814027	0.9049341276687733	0.15016501650165018	0.729281239251693
90	Baseline	amazon	279	269	300	20	0.0	499.7355381920396	4521.737178867069	0.6110658074564872	0.8033515874991917	0.08921933085501858	0.0028196783158933526
91	Lorenz	amazon	279	269	300	20	0.00031937645768963404	724.0795362327226	4570.830115670044	0.813230827175998	0.9263300776649811	0.10408921933085502	0.0022287405570695423
92	Baseline	amazon	324	311	350	20	0.0	607.848237189503	5704.677288282794	0.5817844326455526	0.8137915008053265	0.06752411575562701	0.00247906675386613
93	Lorenz	amazon	324	311	350	20	0.000336897023601792	861.8086062787744	5128.516516578614	0.8198189229639568	0.9345196249275001	0.10610932475884244	0.001992092363654333
94	Baseline	amazon	366	353	400	20	0.0	681.7759279731063	6415.536823182917	0.5736525770510522	0.8196513193173498	0.059490084985835696	0.002240044918374424
95	Baseline	amazon	453	436	500	20	0.0	862.3821667096826	8109.790968773671	0.5554090476954702	0.8303890481467144	0.0481651376146789	0.0018610539600802107
